Standard (vanilla) investment funds/mutual funds,(C-I),"An investment vehicle that is made up of a pool of funds collected from many investors for the purpose of investing in securities such as stocks, bonds, money market instruments and similar assets.",C-I-*-*-*-*,CIXXXX
First attribute,,Closed/open-end (indicates whether units are traded or whether funds continually stand ready to sell new units and redeem the outstanding units on demand),Code,rdfs.label
,C,Closed-end [units are sold on either an organized exchange or in the over-the-counter (OTC) market and are usually not redeemed],C-I-C-*-*-*,CICXXX
,O,"Open-end (funds permanently sell new units to the public and redeem outstanding units on demand, resulting in an increase or decrease of outstanding capital)",C-I-O-*-*-*,CIOXXX
,M,Others (miscellaneous),C-I-M-*-*-*,CIMXXX
Second attribute,,Distribution policy (indicates the fund's normal distribution policy),Code,rdfs.label
,I,Income funds (the fund regularly distributes its investment profits),C-I-*-I-*-*,CIXIXX
,G,Accumulation funds (the fund normally reinvests its investment profits),C-I-*-G-*-*,CIXGXX
,J,"Mixed funds (investment profits are partly distributed, partly reinvested)",C-I-*-J-*-*,CIXJXX
Third attribute,,Assets (indicates the underlying assets in which the fund invests),Code,rdfs.label
,R,Real estate,C-I-*-*-R-*,CIXXRX
,B,Debt instruments (fund invests in debt instrument regardless of maturity),C-I-*-*-B-*,CIXXBX
,E,Equities,C-I-*-*-E-*,CIXXEX
,V,Convertible securities,C-I-*-*-V-*,CIXXVX
,L,Mixed (fund invests in different assets),C-I-*-*-L-*,CIXXLX
,C,Commodities,C-I-*-*-C-*,CIXXCX
,D,Derivatives,C-I-*-*-D-*,CIXXDX
,F,Referential instruments excluding commodities,C-I-*-*-F-*,CIXXFX
,K,"Credits [contractual agreement in which a borrower receives something of value (good, service or money) now and agrees to repay the lender at some date in the future, generally with interest; CIVs normally invest in credits originated by third parties; credits are not freely transferable like debt securities]",C-I-*-*-K-*,CIXXKX
,M,Others (miscellaneous),C-I-*-*-M-*,CIXXMX
Fourth attribute,,Security type and investor restrictions,Code,rdfs.label
,S,Shares (retail and/or qualified/institutional/professional investors),C-I-*-*-*-S,CIXXXS
,Q,Shares for QI (qualified/institutional/professional investors only),C-I-*-*-*-Q,CIXXXQ
,U,Units (retail and/or qualified/institutional/professional investors),C-I-*-*-*-U,CIXXXU
,Y,Units for QI (qualified/institutional/professional investors only),C-I-*-*-*-Y,CIXXXY

,,Return to CIVs_Category Category,,

,,Return to Categories,,
