Bonds,(D-B),Any interest-bearing or discounted security that normally obliges the issuer to pay the bondholder a contracted sum of money and to repay the principal amount of the debt.,D-B-*-*-*-*,DBXXXX
First attribute,,Type of interest or cash payment,Code,rdfs.label
,F,Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue),D-B-F-*-*-*,DBFXXX
,Z,Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition],D-B-Z-*-*-*,DBZXXX
,V,"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)",D-B-V-*-*-*,DBVXXX
,C,Cash payment (this attribute applies only for sukuk certificates; a sukuk takes place when a set of investors pool their wealth to invest in accordance with sharia principles to earn profits which are then distributed pro rata),D-B-C-*-*-*,DBCXXX
,K,Payment in kind (pays interest using other assets instead of cash),D-B-K-*-*-*,DBKXXX
Second attribute,,"Guarantee or ranking (indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured
Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.)",Code,rdfs.label
,T,"Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies]",D-B-*-T-*-*,DBXTXX
,G,Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government],D-B-*-G-*-*,DBXGXX
,S,"Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables)",D-B-*-S-*-*,DBXSXX
,U,Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit),D-B-*-U-*-*,DBXUXX
,P,Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders),D-B-*-P-*-*,DBXPXX
,N,"Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation)",D-B-*-N-*-*,DBXNXX
,O,Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation),D-B-*-O-*-*,DBXOXX
,Q,Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation),D-B-*-Q-*-*,DBXQXX
,J,Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation),D-B-*-J-*-*,DBXJXX
,C,"Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank)",D-B-*-C-*-*,DBXCXX
Third attribute,,Redemption/reimbursement (indicates the retirement provisions made for the debt issue),Code,rdfs.label
,F,Fixed maturity (the principal amount is repaid in full at maturity),D-B-*-*-F-*,DBXXFX
,G,Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date),D-B-*-*-G-*,DBXXGX
,C,Fixed maturity with put feature (the holder may request the reimbursement of his or her bonds prior to the maturity date),D-B-*-*-C-*,DBXXCX
,D,Fixed maturity with put and call,D-B-*-*-D-*,DBXXDX
,A,Amortization plan (reduction of principal by regular payments),D-B-*-*-A-*,DBXXAX
,B,Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called),D-B-*-*-B-*,DBXXBX
,T,Amortization plan with put feature,D-B-*-*-T-*,DBXXTX
,L,Amortization plan with put and call,D-B-*-*-L-*,DBXXLX
,P,Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation),D-B-*-*-P-*,DBXXPX
,Q,Perpetual with call feature (the issue may be called for redemption at some time in the future),D-B-*-*-Q-*,DBXXQX
,R,Perpetual with put feature (the issue may be puttable for redemption at some time in the future),D-B-*-*-R-*,DBXXRX
,E,Extendible,D-B-*-*-E-*,DBXXEX
Fourth attribute,,"Form (negotiability, transmission)",Code,rdfs.label
,B,Bearer (the owner is not registered in the books of the issuer or of the registrar),D-B-*-*-*-B,DBXXXB
,R,Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner),D-B-*-*-*-R,DBXXXR
,N,Bearer/registered (securities are issued in both bearer and registered form but with the same identification number),D-B-*-*-*-N,DBXXXN
,M,Others (miscellaneous),D-B-*-*-*-M,DBXXXM

,,Return to Debt_instruments_Category Category,,

,,Return to Categories,,
