Depositary receipts on debt instruments,(D-D),Depository receipts are securities that facilitate the ownership of instruments traded in other jurisdictions. Depository receipts are widely used in order to allow the trading of debt instruments in jurisdictions other than the one where the original debt instruments were issued.,D-D-*-*-*-*,DDXXXX
First attribute,,Instrument dependency,Code,rdfs.label
,B,Bonds,D-D-B-*-*-*,DDBXXX
,C,Convertible bonds,D-D-C-*-*-*,DDCXXX
,W,Bonds with warrants attached,D-D-W-*-*-*,DDWXXX
,T,Medium-term notes,D-D-T-*-*-*,DDTXXX
,Y,Money market instruments,D-D-Y-*-*-*,DDYXXX
,G,Mortgage-backed securities,D-D-G-*-*-*,DDGXXX
,A,Asset-backed securities,D-D-A-*-*-*,DDAXXX
,N,Municipal bonds,D-D-N-*-*-*,DDNXXX
,M,Others (miscellaneous),D-D-M-*-*-*,DDMXXX
Second attribute,,Type of interest/cash payment,Code,rdfs.label
,F,Fixed rate,D-D-*-F-*-*,DDXFXX
,Z,Zero rate/discounted,D-D-*-Z-*-*,DDXZXX
,V,Variable,D-D-*-V-*-*,DDXVXX
,C,Cash payment,D-D-*-C-*-*,DDXCXX
Third attribute,,"Guarantee or ranking (indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured
Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.)",Code,rdfs.label
,T,"Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies]",D-D-*-*-T-*,DDXXTX
,G,Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government],D-D-*-*-G-*,DDXXGX
,S,"Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables)",D-D-*-*-S-*,DDXXSX
,U,Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit),D-D-*-*-U-*,DDXXUX
,P,Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders),D-D-*-*-P-*,DDXXPX
,N,"Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation)",D-D-*-*-N-*,DDXXNX
,O,Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation),D-D-*-*-O-*,DDXXOX
,Q,Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation),D-D-*-*-Q-*,DDXXQX
,J,Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation),D-D-*-*-J-*,DDXXJX
,C,"Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank)",D-D-*-*-C-*,DDXXCX
Fourth attribute,,Redemption/reimbursement (indicates the retirement provisions made for the debt issue),Code,rdfs.label
,F,Fixed maturity (the principal amount is repaid in full at maturity),D-D-*-*-*-F,DDXXXF
,G,Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date),D-D-*-*-*-G,DDXXXG
,C,Fixed maturity with put feature (the holder may request the reimbursement of his or her bonds prior to the maturity date),D-D-*-*-*-C,DDXXXC
,D,Fixed maturity with put and call,D-D-*-*-*-D,DDXXXD
,A,Amortization plan (reduction of principal by regular payments),D-D-*-*-*-A,DDXXXA
,B,Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called),D-D-*-*-*-B,DDXXXB
,T,Amortization plan with put feature,D-D-*-*-*-T,DDXXXT
,L,Amortization plan with put and call,D-D-*-*-*-L,DDXXXL
,P,Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation),D-D-*-*-*-P,DDXXXP
,Q,Perpetual with call feature (the issue may be called for redemption at some time in the future),D-D-*-*-*-Q,DDXXXQ
,R,Perpetual with put feature (the issue may be puttable for redemption at some time in the future),D-D-*-*-*-R,DDXXXR
,E,Extendible,D-D-*-*-*-E,DDXXXE

,,Return to Debt_instruments_Category Category,,

,,Return to Categories,,
