Municipal bonds,(D-N),"Bond issued by a state, provincial, city or local government excluding municipal money market securities, which shall be classified as debt, money market instruments (see 6.4.6).",D-N-*-*-*-*,DNXXXX
First attribute,,Type of interest,Code,rdfs.label
,F,Fixed rate,D-N-F-*-*-*,DNFXXX
,Z,Zero rate/discounted,D-N-Z-*-*-*,DNZXXX
,V,Variable,D-N-V-*-*-*,DNVXXX
Second attribute,,"Guarantee or ranking (indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured
Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.)",Code,rdfs.label
,T,State guarantee (any level below sovereign or national government),D-N-*-T-*-*,DNXTXX
,G,Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government],D-N-*-G-*-*,DNXGXX
,S,"Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables)",D-N-*-S-*-*,DNXSXX
,U,Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit),D-N-*-U-*-*,DNXUXX
,P,Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders),D-N-*-P-*-*,DNXPXX
,N,"Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation)",D-N-*-N-*-*,DNXNXX
,O,Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation),D-N-*-O-*-*,DNXOXX
,Q,Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation),D-N-*-Q-*-*,DNXQXX
,J,Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation),D-N-*-J-*-*,DNXJXX
,C,"Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank)",D-N-*-C-*-*,DNXCXX
Third attribute,,Redemption/reimbursement (indicates the retirement provisions made for the debt issue),Code,rdfs.label
,F,Fixed maturity (the principal amount is repaid in full at maturity),D-N-*-*-F-*,DNXXFX
,G,Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date),D-N-*-*-G-*,DNXXGX
,C,Fixed maturity with put feature (the holder may request the reimbursement of his or her bonds prior to the maturity date),D-N-*-*-C-*,DNXXCX
,D,Fixed maturity with put and call,D-N-*-*-D-*,DNXXDX
,A,Amortization plan (reduction of principal by regular payments),D-N-*-*-A-*,DNXXAX
,B,Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called),D-N-*-*-B-*,DNXXBX
,T,Amortization plan with put feature,D-N-*-*-T-*,DNXXTX
,L,Amortization plan with put and call,D-N-*-*-L-*,DNXXLX
,P,Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation),D-N-*-*-P-*,DNXXPX
,Q,Perpetual with call feature (the issue may be called for redemption at some time in the future),D-N-*-*-Q-*,DNXXQX
,R,Perpetual with put feature (the issue may be puttable for redemption at some time in the future),D-N-*-*-R-*,DNXXRX
,E,Extendible,D-N-*-*-E-*,DNXXEX
Fourth attribute,,"Form (negotiability, transmission)",Code,rdfs.label
,B,Bearer (the owner is not registered in the books of the issuer or of the registrar),D-N-*-*-*-B,DNXXXB
,R,Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner),D-N-*-*-*-R,DNXXXR
,N,Bearer/registered (securities are issued in both bearer and registered form but with the same identification number),D-N-*-*-*-N,DNXXXN
,M,Others (miscellaneous),D-N-*-*-*-M,DNXXXM

,,Return to Debt_instruments_Category Category,,

,,Return to Categories,,
