Medium-term notes,(D-T),Negotiable debt instruments offered under a program agreement through one or more dealers upon request of the issuer. The program defines the terms and conditions of the notes.,D-T-*-*-*-*,DTXXXX
First attribute,,Type of interest,Code,rdfs.label
,F,Fixed rate,D-T-F-*-*-*,DTFXXX
,Z,Zero rate/discounted,D-T-Z-*-*-*,DTZXXX
,V,Variable,D-T-V-*-*-*,DTVXXX
,K,Payment in kind,D-T-K-*-*-*,DTKXXX
Second attribute,,"Guarantee or ranking (indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured
Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.)",Code,rdfs.label
,T,"Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies]",D-T-*-T-*-*,DTXTXX
,G,Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government],D-T-*-G-*-*,DTXGXX
,S,"Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables)",D-T-*-S-*-*,DTXSXX
,U,Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit),D-T-*-U-*-*,DTXUXX
,P,Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders),D-T-*-P-*-*,DTXPXX
,N,"Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation)",D-T-*-N-*-*,DTXNXX
,O,Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation),D-T-*-O-*-*,DTXOXX
,Q,Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation),D-T-*-Q-*-*,DTXQXX
,J,Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation),D-T-*-J-*-*,DTXJXX
,C,"Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank)",D-T-*-C-*-*,DTXCXX
Third attribute,,Redemption/reimbursement (indicates the retirement provisions made for the debt issue),Code,rdfs.label
,F,Fixed maturity (the principal amount is repaid in full at maturity),D-T-*-*-F-*,DTXXFX
,G,Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date),D-T-*-*-G-*,DTXXGX
,C,Fixed maturity with put feature (the holder may request the reimbursement of his or her bonds prior to the maturity date),D-T-*-*-C-*,DTXXCX
,D,Fixed maturity with put and call,D-T-*-*-D-*,DTXXDX
,A,Amortization plan (reduction of principal by regular payments),D-T-*-*-A-*,DTXXAX
,B,Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called),D-T-*-*-B-*,DTXXBX
,T,Amortization plan with put feature,D-T-*-*-T-*,DTXXTX
,L,Amortization plan with put and call,D-T-*-*-L-*,DTXXLX
,P,Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation),D-T-*-*-P-*,DTXXPX
,Q,Perpetual with call feature (the issue may be called for redemption at some time in the future),D-T-*-*-Q-*,DTXXQX
,R,Perpetual with put feature (the issue may be puttable for redemption at some time in the future),D-T-*-*-R-*,DTXXRX
,E,Extendible,D-T-*-*-E-*,DTXXEX
Fourth attribute,,"Form (negotiability, transmission)",Code,rdfs.label
,B,Bearer (the owner is not registered in the books of the issuer or of the registrar),D-T-*-*-*-B,DTXXXB
,R,Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner),D-T-*-*-*-R,DTXXXR
,N,Bearer/registered (securities are issued in both bearer and registered form but with the same identification number),D-T-*-*-*-N,DTXXXN
,M,Others (miscellaneous),D-T-*-*-*-M,DTXXXM

,,Return to Debt_instruments_Category Category,,

,,Return to Categories,,
