Bonds with warrants attached,(D-W),"A bond that is issued together with one or more warrant(s) attached as part of the offer, the warrant(s) granting the holder the right to purchase a designated security, often the common stock of the issuer of the debt, at a specified price.",D-W-*-*-*-*,DWXXXX
First attribute,,Type of interest,Code,rdfs.label
,F,Fixed rate,D-W-F-*-*-*,DWFXXX
,Z,Zero rate/discounted,D-W-Z-*-*-*,DWZXXX
,V,Variable,D-W-V-*-*-*,DWVXXX
,K,Payment in kind,D-W-K-*-*-*,DWKXXX
Second attribute,,"Guarantee or ranking (indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured
Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.)",Code,rdfs.label
,T,"Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies]",D-W-*-T-*-*,DWXTXX
,G,Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government],D-W-*-G-*-*,DWXGXX
,S,"Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables)",D-W-*-S-*-*,DWXSXX
,U,Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit),D-W-*-U-*-*,DWXUXX
,P,Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders),D-W-*-P-*-*,DWXPXX
,N,"Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation)",D-W-*-N-*-*,DWXNXX
,O,Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation),D-W-*-O-*-*,DWXOXX
,Q,Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation),D-W-*-Q-*-*,DWXQXX
,J,Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation),D-W-*-J-*-*,DWXJXX
,C,"Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank)",D-W-*-C-*-*,DWXCXX
Third attribute,,Redemption/reimbursement (indicates the retirement provisions made for the debt issue),Code,rdfs.label
,F,Fixed maturity (the principal amount is repaid in full at maturity),D-W-*-*-F-*,DWXXFX
,G,Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date),D-W-*-*-G-*,DWXXGX
,C,Fixed maturity with put feature (the holder may request the reimbursement of his or her bonds prior to the maturity date),D-W-*-*-C-*,DWXXCX
,D,Fixed maturity with put and call,D-W-*-*-D-*,DWXXDX
,A,Amortization plan (reduction of principal by regular payments),D-W-*-*-A-*,DWXXAX
,B,Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called),D-W-*-*-B-*,DWXXBX
,T,Amortization plan with put feature,D-W-*-*-T-*,DWXXTX
,L,Amortization plan with put and call,D-W-*-*-L-*,DWXXLX
,P,Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation),D-W-*-*-P-*,DWXXPX
,Q,Perpetual with call feature (the issue may be called for redemption at some time in the future),D-W-*-*-Q-*,DWXXQX
,R,Perpetual with put feature (the issue may be puttable for redemption at some time in the future),D-W-*-*-R-*,DWXXRX
,E,Extendible,D-W-*-*-E-*,DWXXEX
Fourth attribute,,"Form (negotiability, transmission)",Code,rdfs.label
,B,Bearer (the owner is not registered in the books of the issuer or of the registrar),D-W-*-*-*-B,DWXXXB
,R,Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner),D-W-*-*-*-R,DWXXXR
,N,Bearer/registered (securities are issued in both bearer and registered form but with the same identification number),D-W-*-*-*-N,DWXXXN
,M,Others (miscellaneous),D-W-*-*-*-M,DWXXXM

,,Return to Debt_instruments_Category Category,,

,,Return to Categories,,
