Credit,(J-C),Forward contracts to buy or sell the credit product.,J-C-*-*-*-*,JCXXXX
First attribute,,Underlying assets,Code,rdfs.label
,A,Single name,J-C-A-*-*-*,JCAXXX
,I,Index,J-C-I-*-*-*,JCIXXX
,B,Basket,J-C-B-*-*-*,JCBXXX
,C,CDS on a single name,J-C-C-*-*-*,JCCXXX
,D,CDS on an index,J-C-D-*-*-*,JCDXXX
,G,CDS on a basket (where the underlying risk is multiple reference entities or multiple reference obligations),J-C-G-*-*-*,JCGXXX
,O,Options,J-C-O-*-*-*,JCOXXX
Second attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,J-C-*-X-*-*,JCXXXX
Third attribute,,Return or payout trigger (method used to determine contract value if different from standard forward price of underlying instrument),Code,rdfs.label
,C,CFD,J-C-*-*-C-*,JCXXCX
,S,Spread-bet [the payout is determined by the movement in the reference price of the underlying instrument to its price at expiry (or the price when the holder wishes to close out) multiplied by an agreed amount per point movement],J-C-*-*-S-*,JCXXSX
,F,Forward price of underlying instrument (the agreed-upon price for the time of delivery),J-C-*-*-F-*,JCXXFX
Fourth attribute,,Delivery,Code,rdfs.label
,C,Cash (the contract will settle as cash on the performance of the contract at maturity),J-C-*-*-*-C,JCXXXC
,P,Physical (the contract will settle with the delivery of shares on the performance of the contract at maturity),J-C-*-*-*-P,JCXXXP

,,Return to Forwards_Category Category,,

,,Return to Categories,,
