Mixed assets,(K-Y),Mixed asset derivative strategies are the simultaneous trading of two or more contracts of different asset types between two parties.,K-Y-*-*-*-*,KYXXXX
First attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-Y-X-*-*-*,KYXXXX
Second attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-Y-*-X-*-*,KYXXXX
Third attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-Y-*-*-X-*,KYXXXX
Fourth attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,K-Y-*-*-*-X,KYXXXX

,,Return to Strategies_Category Category,,

,,Return to Categories,,
