Others (miscellaneous),(T-M),Referential instruments that do not fit into any of the other Groups of referential instruments.,T-M-*-*-*-*,TMXXXX
First attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,T-M-X-*-*-*,TMXXXX
Second attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,T-M-*-X-*-*,TMXXXX
Third attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,T-M-*-*-X-*,TMXXXX
Fourth attribute,,Not applicable/undefined,Code,rdfs.label
,X,Not applicable/undefined,T-M-*-*-*-X,TMXXXX

,,Return to Referential_instrument_Category Category,,

,,Return to Categories,,
